id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label,selected_mode
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ để xử lý và khắc phục sự cố [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,2,Heuristic max(answer↔chunk) ≈ 0.20,3,Heuristic query↔answer similarity ≈ 0.44,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.43,baseline_dense,dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,3,Heuristic max(answer↔chunk) ≈ 0.45,3,Heuristic query↔answer similarity ≈ 0.61,5,Retrieved: 1/1 expected sources,5,Heuristic answer↔expected ≈ 0.98,baseline_dense,dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",1,Heuristic max(answer↔chunk) ≈ 0.03,2,Heuristic query↔answer similarity ≈ 0.31,5,Retrieved: 1/1 expected sources,4,Heuristic answer↔expected ≈ 0.72,baseline_dense,dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",2,Heuristic max(answer↔chunk) ≈ 0.16,3,Heuristic query↔answer similarity ≈ 0.54,5,Retrieved: 1/1 expected sources,2,Heuristic answer↔expected ≈ 0.34,baseline_dense,dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,4,Heuristic max(answer↔chunk) ≈ 0.76,3,Heuristic query↔answer similarity ≈ 0.45,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.57,baseline_dense,dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. [1],Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,2,Heuristic max(answer↔chunk) ≈ 0.25,3,Heuristic query↔answer similarity ≈ 0.54,5,Retrieved: 1/1 expected sources,4,Heuristic answer↔expected ≈ 0.70,baseline_dense,dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống không được đề cập cụ thể trong tài liệu. Bạn có thể liên hệ với bộ phận hỗ trợ để biết thêm thông tin.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,Heuristic max(answer↔chunk) ≈ 0.24,3,Heuristic query↔answer similarity ≈ 0.51,5,Retrieved: 1/1 expected sources,2,Heuristic answer↔expected ≈ 0.34,baseline_dense,dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",1,Heuristic max(answer↔chunk) ≈ 0.09,3,Heuristic query↔answer similarity ≈ 0.48,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.57,baseline_dense,dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết về lỗi ERR-403-AUTH và cách xử lý. Bạn nên liên hệ với bộ phận hỗ trợ để được trợ giúp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",2,Heuristic max(answer↔chunk) ≈ 0.26,2,Heuristic query↔answer similarity ≈ 0.37,,No expected sources,2,Heuristic answer↔expected ≈ 0.36,baseline_dense,dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh cho thấy quy trình hoàn tiền khẩn cấp cho khách hàng VIP khác với quy trình thông thường. Để biết thêm chi tiết, bạn nên liên hệ với bộ phận hỗ trợ. [1]","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,Heuristic max(answer↔chunk) ≈ 0.10,3,Heuristic query↔answer similarity ≈ 0.44,5,Retrieved: 1/1 expected sources,2,Heuristic answer↔expected ≈ 0.37,baseline_dense,dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ để xử lý và khắc phục sự cố [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,2,Heuristic max(answer↔chunk) ≈ 0.20,3,Heuristic query↔answer similarity ≈ 0.44,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.43,variant_hybrid,hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,3,Heuristic max(answer↔chunk) ≈ 0.45,3,Heuristic query↔answer similarity ≈ 0.61,5,Retrieved: 1/1 expected sources,5,Heuristic answer↔expected ≈ 0.98,variant_hybrid,hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",1,Heuristic max(answer↔chunk) ≈ 0.07,2,Heuristic query↔answer similarity ≈ 0.31,5,Retrieved: 1/1 expected sources,4,Heuristic answer↔expected ≈ 0.72,variant_hybrid,hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",2,Heuristic max(answer↔chunk) ≈ 0.16,3,Heuristic query↔answer similarity ≈ 0.54,5,Retrieved: 1/1 expected sources,2,Heuristic answer↔expected ≈ 0.34,variant_hybrid,hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,4,Heuristic max(answer↔chunk) ≈ 0.79,3,Heuristic query↔answer similarity ≈ 0.48,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.61,variant_hybrid,hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, thông báo cho stakeholder được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi sự cố được giải quyết [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,2,Heuristic max(answer↔chunk) ≈ 0.37,2,Heuristic query↔answer similarity ≈ 0.26,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.51,variant_hybrid,hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,Heuristic max(answer↔chunk) ≈ 0.82,3,Heuristic query↔answer similarity ≈ 0.43,5,Retrieved: 1/1 expected sources,2,Heuristic answer↔expected ≈ 0.26,variant_hybrid,hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",1,Heuristic max(answer↔chunk) ≈ 0.09,3,Heuristic query↔answer similarity ≈ 0.47,5,Retrieved: 1/1 expected sources,3,Heuristic answer↔expected ≈ 0.51,variant_hybrid,hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết về lỗi ERR-403-AUTH và cách xử lý. Bạn nên liên hệ với bộ phận hỗ trợ để được trợ giúp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,Heuristic max(answer↔chunk) ≈ 0.07,2,Heuristic query↔answer similarity ≈ 0.37,,No expected sources,2,Heuristic answer↔expected ≈ 0.36,variant_hybrid,hybrid
