id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản mới nhất [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the change in SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,4,The model answer correctly identifies the change in SLA but does not mention the effective date or the previous version.,baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Bạn có thể kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the maximum number of devices that can be connected to the VPN.,5,Retrieved: 2/2 expected sources,3,The model answer provides the maximum number of devices but lacks important context about the necessity of VPN and the specific software used.,baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about whether orders from the Flash Sale program that have activated products can be refunded.,5,Retrieved: 1/1 expected sources,5,"The model answer accurately reflects all key points from the expected answer, including the conditions for non-refundability.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by stating the percentage of store credit received compared to the original amount.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the percentage and the optional nature of the store credit.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access. Thời gian xử lý là 5 ngày làm việc và yêu cầu thêm là phải hoàn thành training bắt buộc về security policy [2].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"The answer contains fabricated information about contractors receiving Admin Access and the processing time, which is not supported by the retrieved context.",5,The answer directly and completely addresses both parts of the question regarding the granting of Admin Access to contractors and the associated time frame and requirements.,5,Retrieved: 1/1 expected sources,4,The model answer is missing the detail about the need for approval from the IT Manager and CISO.,baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời trong sự cố P1 như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by outlining the specific process for granting temporary permissions and the duration of those permissions.,5,Retrieved: 2/2 expected sources,4,The model answer is complete but misses the detail about contacting the on-call engineer through the hotline.,baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,The answer 'Tôi không biết' does not provide any information or claims that are supported by the retrieved context.,1,The answer does not address the question at all.,,No expected sources,1,The model answer does not provide any relevant information regarding the penalties for violating SLA P1.,baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,4,"The answer is mostly grounded in the context, but the detail about needing medical documentation for sick leave over 3 days is not explicitly stated in the retrieved context.",5,The answer directly and completely addresses both parts of the question regarding the notice period for annual leave and the requirement for documentation when taking sick leave.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the 3-day notice for annual leave and the requirement for medical documentation for sick leave exceeding 3 days.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu cần thay đổi định kỳ mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",2,"The answer claims that passwords need to be changed every 90 days, which is not supported by the retrieved context.",5,"The answer directly and completely addresses the question by stating the need for periodic password changes, the reminder period, and the timeframe for changing the password.",5,Retrieved: 1/1 expected sources,4,"The model answer is missing the specific instructions on how to change the password, which is a minor detail.",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by stating that the current refund policy does not apply to orders placed before the specified date.,5,Retrieved: 1/1 expected sources,5,The model answer accurately covers all key points from the expected answer.,baseline_dense
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản mới nhất [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the change in SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,4,The model answer correctly identifies the change in SLA but omits the effective date and the comparison to the previous version.,variant_hybrid
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Bạn có thể kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by providing the specific number of devices that can be connected to the VPN.,5,Retrieved: 2/2 expected sources,3,The model answer provides the maximum number of devices but lacks information about the requirement of using VPN and the specific software mentioned.,variant_hybrid
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the refund policy for orders in the Flash Sale program.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the conditions for non-refundability.",variant_hybrid
