id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ để xử lý và khắc phục sự cố [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"All information in the answer is directly supported by the context. The SLA for ticket P1 is accurately stated as 15 minutes for the initial response and 4 hours for resolution, which is explicitly mentioned in the retrieved context.",5,"The answer directly addresses the user query by providing specific details about the SLA for handling P1 tickets, including both the initial response time and the time for resolution, which fully satisfies the question asked.",5,Retrieved: 1/1 expected sources,5,"Model Answer accurately captures all key points from the Expected Answer, including the initial response time of 15 minutes and the resolution time of 4 hours, while also maintaining clarity and completeness.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"All information in the answer is directly supported by the context, specifically stating that customers can request a refund within 7 working days from the order confirmation time, as mentioned in [1].",5,"The answer directly addresses the user's query by specifying that customers can request a refund within 7 working days from the order confirmation, which fully answers the question asked.",5,Retrieved: 1/1 expected sources,5,"The Model Answer fully covers all key points and nuances present in the Expected Answer, including the time frame of 7 working days from the order confirmation. The inclusion of the reference [1] does not detract from the completeness of the information provided.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"All information in the answer is directly supported by the context, specifically that Level 3 access requires approval from the Line Manager, IT Admin, and IT Security.",5,"The answer directly addresses the user query by specifying who needs to approve the granting of Level 3 permissions, which is exactly what the user is asking for.",5,Retrieved: 1/1 expected sources,5,"The Model Answer includes all key points from the Expected Answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security, which aligns perfectly with the expected response.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",2,"The answer states that digital products are non-refundable unless there is a manufacturing defect and other conditions are met. However, the context explicitly states that digital products are not eligible for refunds under any circumstances, which contradicts the answer.",5,"The answer directly addresses the user's query about whether digital products can be refunded, stating that they generally cannot be refunded unless there is a manufacturer error and other conditions are met.",5,Retrieved: 1/1 expected sources,3,"The Model Answer conveys the main idea that digital products are generally non-refundable, but it introduces an exception regarding manufacturer errors and additional conditions, which is not mentioned in the Expected Answer. This leads to a lack of completeness as it misses the clear statement that digital products are non-refundable as a general rule without exceptions, as stated in the Expected Answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,All information in the answer is directly supported by the context. It accurately states that the account is locked after 5 consecutive failed login attempts and provides the correct methods for unlocking the account as mentioned in the retrieved context.,5,"The answer directly addresses the user's query about how many times a user can attempt to log in before their account is locked, providing the specific number (5 times) and additional relevant information on how to unlock the account.",5,Retrieved: 1/1 expected sources,5,"The Model Answer fully covers the key point from the Expected Answer regarding the account being locked after 5 consecutive failed login attempts. Additionally, it provides extra information on how to unlock the account, which enhances the completeness of the response.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. [1],Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"All information in the answer is directly supported by the context, specifically stating that escalation in P1 incidents occurs automatically to a Senior Engineer if there is no response within 10 minutes.",4,"The answer addresses the core aspect of the escalation process for P1 incidents by mentioning the automatic escalation to a Senior Engineer if there is no response within 10 minutes. However, it could provide more details about the overall escalation process or additional steps involved.",5,Retrieved: 1/1 expected sources,5,"The Model Answer accurately captures all key points from the Expected Answer, including the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes. It is complete and conveys the same information without omitting any details.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống không được đề cập cụ thể trong tài liệu. Bạn có thể liên hệ với bộ phận hỗ trợ để biết thêm thông tin.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The answer states that the Approval Matrix for granting system access is not specifically mentioned in the document, which is not directly supported by the context provided. While it is true that the context does not mention an Approval Matrix, the suggestion to contact support for more information is not addressed in the retrieved context, making the answer largely unsupported.",2,"The answer mentions that the Approval Matrix is not specifically detailed in any document, which is somewhat related to the query. However, it does not provide any useful information about what the Approval Matrix is or where to find it, making it mostly off-topic and only addressing a small part of the query.",5,Retrieved: 1/1 expected sources,2,"The Model Answer fails to provide the key information that the 'Approval Matrix for System Access' is now referred to as 'Access Control SOP'. It also does not address the user's query directly, instead suggesting to contact support for more information, which does not fulfill the request for specific documentation.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,All information in the answer is directly supported by the context. It accurately states that employees can work remotely for a maximum of 2 days per week after the probation period and that the remote schedule must be approved by the Team Lead through the HR Portal.,5,"The answer directly addresses the user's query about the maximum number of remote work days per week, providing specific information about the limit and conditions related to it.",5,Retrieved: 1/1 expected sources,5,"The Model Answer covers all key points from the Expected Answer, including the maximum number of remote days (2 days/week), the condition of having completed the probation period, and the requirement for approval from the Team Lead. Additionally, it specifies the approval process through the HR Portal, which adds clarity without detracting from the original information.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết về lỗi ERR-403-AUTH và cách xử lý. Bạn nên liên hệ với bộ phận hỗ trợ để được trợ giúp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",2,"The answer suggests contacting support for help with the ERR-403-AUTH error, which is not mentioned in the retrieved context. The context does not provide any information about this specific error or how to handle it, making the answer largely unsupported.",1,"The answer does not address the user query about the ERR-403-AUTH error and its resolution at all. It states a lack of knowledge and suggests contacting support, which is not relevant to the user's request for information.",,No expected sources,2,"The Model Answer misses the key point about ERR-403-AUTH potentially being related to authentication and does not mention the lack of information in existing documentation. It also does not provide any specific guidance on contacting IT Helpdesk, which is a crucial part of the Expected Answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Bạn nên liên hệ với bộ phận hỗ trợ để biết thêm chi tiết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which contradicts the context provided. The context does not mention anything about VIP customers or an emergency refund process, making the answer misleading and unsupported by the retrieved context.",3,"The answer acknowledges the lack of information regarding the emergency refund process for VIP customers, which is relevant to the user's query. However, it does not provide any specific details or guidance on what the process might entail or how to proceed, which leaves the main point of the query unaddressed.",5,Retrieved: 1/1 expected sources,2,"The Model Answer does not address the specific policy regarding VIP customers and fails to mention the standard refund process timeframe of 3-5 working days, which is a key detail in the Expected Answer. It also suggests contacting support for more details, which does not provide a complete response to the user's query.",baseline_dense
