id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý và khắc phục (resolution) ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer states that the SLA for P1 resolution is 4 hours, which is directly and explicitly mentioned in the context under 'Ticket P1: - Xử lý và khắc phục (resolution): 4 giờ.' and further confirmed by 'v2026.1 (2026-01-15): Cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ.'.",5,The answer directly and fully addresses the question by stating the SLA for P1 tickets and the specific duration.,5,Retrieved: 1/1 expected sources,3,The actual answer only provides the resolution SLA (4 hours) but completely misses the initial response SLA (15 minutes) which is a distinct and important part of the expected answer regarding P1 ticket SLAs.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [2].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer 'Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng' is directly stated in the context under the conditions for customers to request a refund: 'Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng'.,5,The answer directly and fully addresses the user's question by stating the exact number of days (7 days) within which a refund can be requested.,5,Retrieved: 1/1 expected sources,5,"The actual answer perfectly matches the expected answer, including all key information such as the duration (7 working days) and the starting point (from order confirmation). The presence of a citation [2] does not detract from its completeness.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately states the approval requirements for Level 3 access, which are explicitly listed in the context under 'Level 3 — Elevated Access' as 'Phê duyệt: Line Manager + IT Admin + IT Security'.",5,The answer directly and fully addresses the question by listing the specific roles required for Level 3 approval.,5,Retrieved: 1/1 expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer directly states an exception to the refund policy that is explicitly mentioned in the 'Ngoại lệ không được hoàn tiền' section of the provided context.,5,"The answer directly and fully addresses the user's question by stating that digital products (license keys, subscriptions) are not refundable.",5,Retrieved: 1/1 expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer 'Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp' is directly stated in the context under the Q&A section for 'Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?'.,5,The answer directly and fully addresses the question by stating the exact number of incorrect login attempts (5) that lead to an account lock.,5,Retrieved: 1/1 expected sources,5,"The actual answer is identical to the expected answer, covering all key information and conditions. The addition of a citation does not affect its completeness.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer [3]. Ngoài ra, trong trường hợp khẩn cấp cần thay đổi quyền hệ thống để khắc phục sự cố P1, On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately states that for P1 incidents, tickets escalate to a Senior Engineer if there's no response within 10 minutes, which is directly from the 'Ticket P1' section. It also correctly states that in urgent P1 incidents requiring system access changes, an On-call IT Admin can grant temporary access (max 24 hours) with verbal Tech Lead approval, which is found under 'Escalation' and 'Quy trình escalation khẩn cấp'. All information is directly supported by the context.",5,The answer directly and fully addresses the question by providing two specific scenarios for how escalation occurs during a P1 incident: automatic escalation to a Senior Engineer and the process for temporary system access approval in urgent P1 cases.,5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points mentioned in the expected answer regarding the P1 ticket escalation process (automatic escalation to Senior Engineer if no response within 10 minutes). It also provides additional, relevant information, but this does not detract from its completeness concerning the expected answer's content.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là một phần của tài liệu `it/access-control-sop.md` (Quy trình kiểm soát truy cập), cụ thể là trong phần ""Phân cấp quyền truy cập"" [2].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,1,"The answer introduces specific details such as the document filename `it/access-control-sop.md`, the section heading 'Phân cấp quyền truy cập', and the reference `[2]`, none of which are present in the provided context. While the context describes an approval process for access levels, these specific identifiers are entirely hallucinated.",5,"The answer directly and fully identifies the document and even the specific section where the Approval Matrix for system access rights can be found, which perfectly answers the user's question.",5,Retrieved: 1/1 expected sources,5,"The actual answer correctly identifies the document by its new name ('Access Control SOP' / 'Quy trình kiểm soát truy cập') and provides the filename (`access-control-sop.md`), which are the core pieces of information from the expected answer. It also adds more specific details about where to find the information within the document, making it even more comprehensive without contradicting the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer 'Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày/tuần' is directly stated in the context under section 4.1 Điều kiện remote: 'Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần'. 'Thời gian thử việc' is an accurate translation of 'probation period'.,5,The answer directly and fully addresses the question by stating the maximum number of remote days per week (2 days/tuần). It also provides a relevant condition ('sau thời gian thử việc') which adds completeness to the information.,5,Retrieved: 1/1 expected sources,3,"The actual answer correctly identifies that employees can work remotely for a maximum of 2 days/week after their probation period. However, it omits the crucial condition that this is 'với điều kiện được Team Lead phê duyệt' (with Team Lead approval), which is a significant missing piece of information from the expected answer.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết vì thông tin này không có trong ngữ cảnh được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer explicitly states that it does not know because the information is not present in the provided context. This is a faithful response if the actual question asked to the RAG system was not covered by the given context snippets. It does not hallucinate or contradict any information.,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),,No expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Dựa trên ngữ cảnh được cung cấp, không có thông tin nào cho thấy quy trình hoàn tiền khẩn cấp cho khách hàng VIP là khác biệt so với quy trình hoàn tiền tiêu chuẩn [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately states that the provided context does not contain any information regarding an urgent refund process for VIP customers or any differentiation from the standard refund process. This is a faithful reflection of the information (or lack thereof) in the given context.,5,"The answer directly and fully addresses the user's question by stating that, based on the provided context, there is no information indicating a different process for urgent VIP refunds. This is a complete and accurate response given the limitations of the context.",5,Retrieved: 1/1 expected sources,4,"The actual answer correctly states that there is no special process for VIP customers, aligning with the core message of the expected answer. However, it omits the detail about the standard process taking '3-5 ngày làm việc' (3-5 business days), which is present in the expected answer. This makes it slightly less complete.",baseline_dense
